metric,,,curvature,curvature,curvature,second_order_coeff_x,second_order_coeff_x,second_order_coeff_x,second_order_coeff_y,second_order_coeff_y,second_order_coeff_y,second_order_coeff_z,second_order_coeff_z,second_order_coeff_z
summary,,,median,low,high,median,low,high,median,low,high,median,low,high
fish,date,condition,,,,,,,,,,,,
Lazy,2020-11-21,well,12.77800243305012,6.81037059662494,22.93155764186321,-2.30766781767226e-05,-0.00032170866291894704,0.00025769645762111285,-0.00016905360010670856,-0.0004199137919004024,7.344587975757109e-06,2.2538914612689377e-05,-0.0003365881015996462,0.00027228532065906347
Lazy,2020-11-23,floor,9.236390279668898,4.776516493215001,18.210533389226157,-9.86535126702559e-05,-0.000327550263642052,0.00014270830430749952,-8.995478254962609e-05,-0.0003041504311431895,0.00013111054352088068,1.564982977436966e-05,-0.00017380621060327243,0.00017713315879383268
Lazy,2020-11-23,well,13.795820805521592,7.073123030027227,24.71204733070619,-9.833795201563022e-05,-0.00037346367663129346,0.0001800406278094128,-0.00015648281576027392,-0.0003681911421305618,1.9813762706367645e-05,-5.591812435207583e-05,-0.00037973927398698087,0.00016449939962730529
Lazy,2020-11-25,floor,9.141129624410771,5.220559612324147,16.242254547166866,-9.134024457498405e-05,-0.00029392260505636055,0.00010997717264200836,-8.62264508108364e-05,-0.00023166671691972758,7.838872029951305e-05,8.548360886274651e-05,-9.110548094026284e-05,0.00025086871415421126
Lazy,2020-11-25,well,9.9838822432697,5.878122425558192,17.12635418163468,-0.000123904959564444,-0.00033455994880320284,9.51411780917523e-05,-0.0001446662226438245,-0.00033339435936201794,4.2957767957423045e-05,3.741654307757662e-05,-0.0001901698072818212,0.00022747339456032447
Lazy,2020-11-28,floor,10.205237502845058,5.306057891921743,18.780877611396484,-0.00019468211310699437,-0.0004817527961650443,1.0777095218502203e-05,-5.295831629209904e-05,-0.000226586213897322,0.00015327195257495822,-6.156545797601288e-06,-0.00021183947968336458,0.00017749868446810085
Lazy,2020-11-28,well,12.983396671540005,6.950040326886121,21.769206942177235,-0.00016752259474233866,-0.0004709619688585908,5.34797784236645e-05,-0.00013304369757291857,-0.0003062810302261201,5.726743296211133e-05,-1.8695817274248677e-05,-0.0002626482300576409,0.00020197165890709987
Lazy,2020-12-01,floor,10.099302970360439,5.580730803150966,19.459921968462496,-0.00012997875894390506,-0.00043479357525740144,2.5464561988623612e-05,-3.953751978536603e-05,-0.0002338144599141863,0.00014513989456963277,6.345099485955589e-05,-8.441574519995503e-05,0.00019685836413470647
Lazy,2020-12-01,well,9.708283810486646,5.7688940337530505,16.34617236559752,-0.0001691432022254523,-0.0004211350160029812,9.06579209449903e-06,-0.00013031003181890785,-0.0002619048244120043,1.4131217844851134e-05,4.7364481458736746e-05,-0.00019609960661201475,0.0002401652792244236
Lazy,2020-12-03,floor,,,,,,,,,,,,
Lazy,2020-12-03,well,8.641192869115198,4.132507516387276,17.21030458428446,-0.0001321561565837848,-0.0003671252282192394,7.290463539146723e-06,-1.6118283827585008e-05,-0.0001879783546295744,0.00010973610906249029,5.590631783965134e-05,-0.00011777747720070558,0.00023308637235201762
Lazy,2020-12-05,floor,8.14439616785547,4.438335920003894,15.625226398359924,-0.00026927300615395126,-0.00045565028176682265,-0.00013810075329750084,-8.790186259828247e-05,-0.0002240075184463273,4.0248606457434386e-05,5.0699021463654845e-05,-0.00016715041695794427,0.00023542668949839832
Lazy,2020-12-05,well,8.2723968184093,3.808375707520357,14.915565139001721,-0.00019536730603627954,-0.00039594403697029083,-5.699935193807132e-05,-4.373550688680922e-05,-0.0002361420485325248,0.00011531145074644776,9.340743985270012e-05,-0.0001436884580899606,0.0003208645082150079
Lazy,2020-12-07,floor,7.468905799078346,3.99538505900518,14.219996384835405,-0.00023418188711540056,-0.00048324497674457934,-0.00011833594570457393,-5.6511062349656255e-05,-0.00022189969941728452,4.892749435614357e-05,5.34682468642022e-05,-0.00015683852950355325,0.0002332133689249781
Lazy,2020-12-07,well,,,,,,,,,,,,
Lazy,2020-12-09,floor,6.762374153587004,3.403037860823443,14.53219209144151,-7.142715620084733e-05,-0.0001754593459598696,1.4418786862601996e-05,-7.41028145873489e-05,-0.00020825929261038706,1.8578411193982747e-05,7.521436322696005e-05,-5.505900576287651e-05,0.00020089364297251453
Lazy,2020-12-09,well,,,,,,,,,,,,
